Name of game,Year of Release
Max Payne,2001
GTA,1997
GTA London,1998
GTA-2,1999
GTA - 3 ,2001
GTA - Vice City,2002
GTA - San Andreas,2004
GTA Advance,2003
GTA Liberty City Stories,2005
GTA Vice City Stories,2006
Red Dead Revolver,2004
Max Payne - 2,2002
Bully,2006
GTA - 4,2008
GTA Episodes,2009
GTA - Chinatown Wars,2010
Red Dead Redemption,2010
RDR - Undead Nightmare,2010
Max Payne - 3,2012
GTA - 5,2013
GTA Online,2013
Red Dead Redemption - 2,2018
GTA Triology Definitive Edition,2021
RDR Definitive Edition,2021
